DEBUG 2019-08-13 15:21:33,347 1338320ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:35:51,800 2196773ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:35:53,612 2198585ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:35:55,613 2200586ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:37:18,057 2283030ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:37:20,364 2285337ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:37:23,001 2287974ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:38:03,156 2328129ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:38:06,002 2330975ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:38:07,602 2332575ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:40:33,218 2478191ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:40:39,099 2484072ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:40:40,938 2485911ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:42:25,042 2590015ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:42:27,659 2592632ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:42:29,698 2594671ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:44:11,030 2696003ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:44:12,378 2697351ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:44:14,458 2699431ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:45:05,411 2750384ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:45:06,698 2751671ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:45:09,034 2754007ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:51:02,030 3107003ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:51:34,217 3139190ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:51:35,978 3140951ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:52:24,183 3189156ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:52:25,664 3190637ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:52:27,177 3192150ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:53:58,881 3283854ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:54:09,169  3048ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:54:11,897  5776ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:55:51,789 105668ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:55:56,980 110858ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:56:00,468 114347ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:57:01,932 175810ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:57:16,499 190378ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:57:19,220 193098ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:03:20,212 554091ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:03:23,169 557048ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:03:25,010 558888ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:04:35,387 629266ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:04:37,778 631657ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:04:39,889 633768ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:07:54,372 828251ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:07:57,010 830888ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:07:58,769 832648ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 16:08:15,820 849699ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
